file_id,filename,relative_path,category,file_type,size_bytes,size_kb
F-0001,linkedin_authority_001.md,Content_Archive/LinkedIn_Authority/linkedin_authority_001.md,LinkedIn Authority Posts,.md,925,0.9
F-0002,linkedin_authority_002.md,Content_Archive/LinkedIn_Authority/linkedin_authority_002.md,LinkedIn Authority Posts,.md,917,0.9
F-0003,linkedin_authority_003.md,Content_Archive/LinkedIn_Authority/linkedin_authority_003.md,LinkedIn Authority Posts,.md,1161,1.13
F-0004,linkedin_authority_004.md,Content_Archive/LinkedIn_Authority/linkedin_authority_004.md,LinkedIn Authority Posts,.md,1371,1.34
F-0005,linkedin_authority_005.md,Content_Archive/LinkedIn_Authority/linkedin_authority_005.md,LinkedIn Authority Posts,.md,1073,1.05
F-0006,linkedin_authority_006.md,Content_Archive/LinkedIn_Authority/linkedin_authority_006.md,LinkedIn Authority Posts,.md,1560,1.52
F-0007,linkedin_authority_007.md,Content_Archive/LinkedIn_Authority/linkedin_authority_007.md,LinkedIn Authority Posts,.md,1344,1.31
F-0008,linkedin_authority_008.md,Content_Archive/LinkedIn_Authority/linkedin_authority_008.md,LinkedIn Authority Posts,.md,865,0.84
F-0009,linkedin_authority_009.md,Content_Archive/LinkedIn_Authority/linkedin_authority_009.md,LinkedIn Authority Posts,.md,1145,1.12
F-0010,linkedin_authority_010.md,Content_Archive/LinkedIn_Authority/linkedin_authority_010.md,LinkedIn Authority Posts,.md,1789,1.75
F-0011,linkedin_authority_011.md,Content_Archive/LinkedIn_Authority/linkedin_authority_011.md,LinkedIn Authority Posts,.md,1239,1.21
F-0012,linkedin_authority_012.md,Content_Archive/LinkedIn_Authority/linkedin_authority_012.md,LinkedIn Authority Posts,.md,1125,1.1
F-0013,linkedin_authority_013.md,Content_Archive/LinkedIn_Authority/linkedin_authority_013.md,LinkedIn Authority Posts,.md,1142,1.12
F-0014,linkedin_authority_014.md,Content_Archive/LinkedIn_Authority/linkedin_authority_014.md,LinkedIn Authority Posts,.md,1252,1.22
F-0015,linkedin_authority_015.md,Content_Archive/LinkedIn_Authority/linkedin_authority_015.md,LinkedIn Authority Posts,.md,1582,1.54
F-0016,linkedin_authority_016.md,Content_Archive/LinkedIn_Authority/linkedin_authority_016.md,LinkedIn Authority Posts,.md,1255,1.23
F-0017,linkedin_authority_017.md,Content_Archive/LinkedIn_Authority/linkedin_authority_017.md,LinkedIn Authority Posts,.md,1170,1.14
F-0018,linkedin_authority_018.md,Content_Archive/LinkedIn_Authority/linkedin_authority_018.md,LinkedIn Authority Posts,.md,1116,1.09
F-0019,linkedin_authority_019.md,Content_Archive/LinkedIn_Authority/linkedin_authority_019.md,LinkedIn Authority Posts,.md,1439,1.41
F-0020,linkedin_authority_020.md,Content_Archive/LinkedIn_Authority/linkedin_authority_020.md,LinkedIn Authority Posts,.md,995,0.97
F-0021,operator_mindset_001.md,Content_Archive/Operator_Mindset/operator_mindset_001.md,Operator Mindset Posts,.md,701,0.68
F-0022,operator_mindset_002.md,Content_Archive/Operator_Mindset/operator_mindset_002.md,Operator Mindset Posts,.md,759,0.74
F-0023,operator_mindset_003.md,Content_Archive/Operator_Mindset/operator_mindset_003.md,Operator Mindset Posts,.md,639,0.62
F-0024,operator_mindset_004.md,Content_Archive/Operator_Mindset/operator_mindset_004.md,Operator Mindset Posts,.md,783,0.76
F-0025,operator_mindset_005.md,Content_Archive/Operator_Mindset/operator_mindset_005.md,Operator Mindset Posts,.md,698,0.68
F-0026,operator_mindset_006.md,Content_Archive/Operator_Mindset/operator_mindset_006.md,Operator Mindset Posts,.md,621,0.61
F-0027,operator_mindset_007.md,Content_Archive/Operator_Mindset/operator_mindset_007.md,Operator Mindset Posts,.md,783,0.76
F-0028,operator_mindset_008.md,Content_Archive/Operator_Mindset/operator_mindset_008.md,Operator Mindset Posts,.md,780,0.76
F-0029,operator_mindset_009.md,Content_Archive/Operator_Mindset/operator_mindset_009.md,Operator Mindset Posts,.md,938,0.92
F-0030,operator_mindset_010.md,Content_Archive/Operator_Mindset/operator_mindset_010.md,Operator Mindset Posts,.md,712,0.7
F-0031,operational_breakdown_001.md,Content_Archive/Operational_Breakdowns/operational_breakdown_001.md,Operational Breakdown Posts,.md,2910,2.84
F-0032,operational_breakdown_002.md,Content_Archive/Operational_Breakdowns/operational_breakdown_002.md,Operational Breakdown Posts,.md,2730,2.67
F-0033,operational_breakdown_003.md,Content_Archive/Operational_Breakdowns/operational_breakdown_003.md,Operational Breakdown Posts,.md,2917,2.85
F-0034,operational_breakdown_004.md,Content_Archive/Operational_Breakdowns/operational_breakdown_004.md,Operational Breakdown Posts,.md,4093,4.0
F-0035,operational_breakdown_005.md,Content_Archive/Operational_Breakdowns/operational_breakdown_005.md,Operational Breakdown Posts,.md,2804,2.74
F-0036,operational_breakdown_006.md,Content_Archive/Operational_Breakdowns/operational_breakdown_006.md,Operational Breakdown Posts,.md,3117,3.04
F-0037,operational_breakdown_007.md,Content_Archive/Operational_Breakdowns/operational_breakdown_007.md,Operational Breakdown Posts,.md,3184,3.11
F-0038,operational_breakdown_008.md,Content_Archive/Operational_Breakdowns/operational_breakdown_008.md,Operational Breakdown Posts,.md,3711,3.62
F-0039,operational_breakdown_009.md,Content_Archive/Operational_Breakdowns/operational_breakdown_009.md,Operational Breakdown Posts,.md,3597,3.51
F-0040,operational_breakdown_010.md,Content_Archive/Operational_Breakdowns/operational_breakdown_010.md,Operational Breakdown Posts,.md,3758,3.67
F-0041,newsletter_001.md,Content_Archive/Newsletters/newsletter_001.md,Newsletters,.md,5499,5.37
F-0042,newsletter_002.md,Content_Archive/Newsletters/newsletter_002.md,Newsletters,.md,5443,5.32
F-0043,newsletter_003.md,Content_Archive/Newsletters/newsletter_003.md,Newsletters,.md,5727,5.59
F-0044,newsletter_004.md,Content_Archive/Newsletters/newsletter_004.md,Newsletters,.md,5096,4.98
F-0045,newsletter_005.md,Content_Archive/Newsletters/newsletter_005.md,Newsletters,.md,4715,4.6
F-0046,client_education_001.md,Content_Archive/Client_Education/client_education_001.md,Client Education Sequences,.md,1900,1.86
F-0047,client_education_002.md,Content_Archive/Client_Education/client_education_002.md,Client Education Sequences,.md,2061,2.01
F-0048,client_education_003.md,Content_Archive/Client_Education/client_education_003.md,Client Education Sequences,.md,1892,1.85
F-0049,client_education_004.md,Content_Archive/Client_Education/client_education_004.md,Client Education Sequences,.md,1918,1.87
F-0050,client_education_005.md,Content_Archive/Client_Education/client_education_005.md,Client Education Sequences,.md,1908,1.86
F-0051,local_market_insight_001.md,Content_Archive/Local_Market_Insights/local_market_insight_001.md,Local Market Insights,.md,2463,2.41
F-0052,local_market_insight_002.md,Content_Archive/Local_Market_Insights/local_market_insight_002.md,Local Market Insights,.md,1290,1.26
F-0053,local_market_insight_003.md,Content_Archive/Local_Market_Insights/local_market_insight_003.md,Local Market Insights,.md,1705,1.67
F-0054,local_market_insight_004.md,Content_Archive/Local_Market_Insights/local_market_insight_004.md,Local Market Insights,.md,2279,2.23
F-0055,local_market_insight_005.md,Content_Archive/Local_Market_Insights/local_market_insight_005.md,Local Market Insights,.md,2217,2.17
F-0056,whitepaper_001.md,Whitepapers/whitepaper_001.md,Whitepapers,.md,3429,3.35
F-0057,whitepaper_002.md,Whitepapers/whitepaper_002.md,Whitepapers,.md,4696,4.59
F-0058,whitepaper_003.md,Whitepapers/whitepaper_003.md,Whitepapers,.md,3926,3.83
F-0059,founder_narrative_001.md,Founder_Narratives/founder_narrative_001.md,Founder Narratives,.md,1472,1.44
F-0060,founder_narrative_002.md,Founder_Narratives/founder_narrative_002.md,Founder Narratives,.md,1311,1.28
F-0061,founder_narrative_003.md,Founder_Narratives/founder_narrative_003.md,Founder Narratives,.md,1292,1.26
F-0062,industry_report_001.md,Industry_Reports/industry_report_001.md,Industry Reports,.md,1426,1.39
F-0063,industry_report_002.md,Industry_Reports/industry_report_002.md,Industry Reports,.md,2211,2.16
F-0064,industry_report_003.md,Industry_Reports/industry_report_003.md,Industry Reports,.md,1453,1.42
F-0065,authority_positioning_architecture.md,Publishing_System/authority_positioning_architecture.md,Publishing System,.md,3976,3.88
F-0066,publishing_calendar_2025_2026.csv,Publishing_System/Calendar/publishing_calendar_2025_2026.csv,Publishing System,.csv,19097,18.65
F-0067,newsletter_sequencing.csv,Publishing_System/Calendar/newsletter_sequencing.csv,Publishing System,.csv,11991,11.71
F-0068,topic_tag_system.csv,Publishing_System/Tags/topic_tag_system.csv,Publishing System,.csv,2242,2.19
F-0069,content_repurposing_map.csv,Publishing_System/Repurposing_Maps/content_repurposing_map.csv,Publishing System,.csv,1206,1.18
F-0070,cross_linking_recommendations.csv,Publishing_System/Repurposing_Maps/cross_linking_recommendations.csv,Publishing System,.csv,891,0.87
F-0071,conversion_funnel_map.csv,Publishing_System/Funnel_Maps/conversion_funnel_map.csv,Publishing System,.csv,1314,1.28
F-0072,lead_magnet_ideas.csv,Publishing_System/Funnel_Maps/lead_magnet_ideas.csv,Publishing System,.csv,1240,1.21
F-0073,audience_segmentation.csv,Publishing_System/Audience_Segments/audience_segmentation.csv,Publishing System,.csv,2136,2.09
F-0074,executive_operations_manual.md,Operations_OS/Executive_Ops/executive_operations_manual.md,Business Operating System,.md,6687,6.53
F-0075,field_operations_manual.md,Operations_OS/Field_Ops/field_operations_manual.md,Business Operating System,.md,4847,4.73
F-0076,client_management_manual.md,Operations_OS/Client_Management/client_management_manual.md,Business Operating System,.md,5848,5.71
F-0077,compliance_manual.md,Operations_OS/Compliance/compliance_manual.md,Business Operating System,.md,5199,5.08
F-0078,ai_automation_manual.md,Operations_OS/AI_Automation/ai_automation_manual.md,Business Operating System,.md,5050,4.93
F-0079,financial_operations_manual.md,Operations_OS/Financial_Ops/financial_operations_manual.md,Business Operating System,.md,4396,4.29
F-0080,solano_county_crm_lead_database.csv,Lead_Intelligence/Solano_County/solano_county_crm_lead_database.csv,Lead Intelligence,.csv,503486,491.69
F-0081,recurring_revenue_opportunity_appendix.md,Lead_Intelligence/Solano_County/recurring_revenue_opportunity_appendix.md,Lead Intelligence,.md,4001,3.91
F-0082,solano_county_market_summary.md,Lead_Intelligence/Solano_County/solano_county_market_summary.md,Lead Intelligence,.md,4821,4.71
F-0083,acquisition_opportunity_appendix.md,Lead_Intelligence/Solano_County/acquisition_opportunity_appendix.md,Lead Intelligence,.md,4631,4.52
F-0084,sector_opportunity_report.csv,Lead_Intelligence/Sector_Reports/sector_opportunity_report.csv,Lead Intelligence,.csv,6402,6.25
F-0085,operational_inefficiency_trends.md,Lead_Intelligence/Sector_Reports/operational_inefficiency_trends.md,Lead Intelligence,.md,3916,3.82
F-0086,ai_automation_opportunity_analysis.md,Lead_Intelligence/Sector_Reports/ai_automation_opportunity_analysis.md,Lead Intelligence,.md,5642,5.51
F-0087,sector_opportunity_report.md,Lead_Intelligence/Sector_Reports/sector_opportunity_report.md,Lead Intelligence,.md,6187,6.04
F-0088,outreach_strategy_appendix.csv,Lead_Intelligence/Outreach_Strategies/outreach_strategy_appendix.csv,Lead Intelligence,.csv,1393,1.36
F-0089,outreach_strategy_appendix.md,Lead_Intelligence/Outreach_Strategies/outreach_strategy_appendix.md,Lead Intelligence,.md,4066,3.97
F-0090,essential_forms.md,SOP_Library/Forms/essential_forms.md,SOP Library,.md,7092,6.93
F-0091,essential_checklists.md,SOP_Library/Checklists/essential_checklists.md,SOP Library,.md,3719,3.63
F-0092,master_content_index.csv,CSV/master_content_index.csv,CSV Exports,.csv,120547,117.72
F-0093,publishing_calendar_2025_2026.csv,CSV/publishing_calendar_2025_2026.csv,CSV Exports,.csv,19097,18.65
F-0094,newsletter_sequencing.csv,CSV/newsletter_sequencing.csv,CSV Exports,.csv,11991,11.71
F-0095,topic_tag_system.csv,CSV/topic_tag_system.csv,CSV Exports,.csv,2242,2.19
F-0096,content_repurposing_map.csv,CSV/content_repurposing_map.csv,CSV Exports,.csv,1206,1.18
F-0097,cross_linking_recommendations.csv,CSV/cross_linking_recommendations.csv,CSV Exports,.csv,891,0.87
F-0098,conversion_funnel_map.csv,CSV/conversion_funnel_map.csv,CSV Exports,.csv,1314,1.28
F-0099,lead_magnet_ideas.csv,CSV/lead_magnet_ideas.csv,CSV Exports,.csv,1240,1.21
F-0100,audience_segmentation.csv,CSV/audience_segmentation.csv,CSV Exports,.csv,2136,2.09
F-0101,solano_county_crm_lead_database.csv,CSV/solano_county_crm_lead_database.csv,CSV Exports,.csv,503486,491.69
F-0102,sector_opportunity_report.csv,CSV/sector_opportunity_report.csv,CSV Exports,.csv,6402,6.25
F-0103,outreach_strategy_appendix.csv,CSV/outreach_strategy_appendix.csv,CSV Exports,.csv,1393,1.36
F-0104,authority_positioning_architecture.md,Markdown/authority_positioning_architecture.md,Markdown Archive,.md,3976,3.88
F-0105,executive_operations_manual.md,Markdown/executive_operations_manual.md,Markdown Archive,.md,6687,6.53
F-0106,field_operations_manual.md,Markdown/field_operations_manual.md,Markdown Archive,.md,4847,4.73
F-0107,client_management_manual.md,Markdown/client_management_manual.md,Markdown Archive,.md,5848,5.71
F-0108,compliance_manual.md,Markdown/compliance_manual.md,Markdown Archive,.md,5199,5.08
F-0109,ai_automation_manual.md,Markdown/ai_automation_manual.md,Markdown Archive,.md,5050,4.93
F-0110,financial_operations_manual.md,Markdown/financial_operations_manual.md,Markdown Archive,.md,4396,4.29
F-0111,essential_forms.md,Markdown/essential_forms.md,Markdown Archive,.md,7092,6.93
F-0112,essential_checklists.md,Markdown/essential_checklists.md,Markdown Archive,.md,3719,3.63
F-0113,solano_county_market_summary.md,Markdown/solano_county_market_summary.md,Markdown Archive,.md,4821,4.71
F-0114,acquisition_opportunity_appendix.md,Markdown/acquisition_opportunity_appendix.md,Markdown Archive,.md,4631,4.52
F-0115,recurring_revenue_opportunity_appendix.md,Markdown/recurring_revenue_opportunity_appendix.md,Markdown Archive,.md,4001,3.91
F-0116,sector_opportunity_report.md,Markdown/sector_opportunity_report.md,Markdown Archive,.md,6187,6.04
F-0117,operational_inefficiency_trends.md,Markdown/operational_inefficiency_trends.md,Markdown Archive,.md,3916,3.82
F-0118,ai_automation_opportunity_analysis.md,Markdown/ai_automation_opportunity_analysis.md,Markdown Archive,.md,5642,5.51
F-0119,outreach_strategy_appendix.md,Markdown/outreach_strategy_appendix.md,Markdown Archive,.md,4066,3.97
