Case,Official Citation,Amendment,Verified,Good Law Status,Last Verified Date,Primary Source,Doctrinal Warning / Flag
Weeks v. United States,"Weeks v. United States, 232 U.S. 383 (1914)",Fourth Amendment,YES,Modified,2026-05-27,"Oyez, Justia, Cornell LII","Warning: The exclusionary rule established in Weeks was initially limited to federal proceedings but was later extended to state proceedings by Mapp v. Ohio, and has since seen various exceptions and limitations."
Mapp v. Ohio,"Mapp v. Ohio, 367 U.S. 643 (1961)",Fourth Amendment,YES,Narrowed,2026-05-27,"Cornell LII, Oyez, Justia","Warning: The exclusionary rule established by Mapp v. Ohio has been significantly limited by subsequent Supreme Court decisions, creating various exceptions to its application."
Nardone v. United States,"Nardone v. United States, 308 U.S. 338 (1939)",Fourth Amendment (via the 'fruit of the poisonous tree' doctrine),YES,Still Good Law,2026-05-27,"Cornell LII, Justia","Warning: While Nardone established the 'fruit of the poisonous tree' doctrine, its original basis was statutory (Communications Act of 1934), not directly the Fourth Amendment, though it heavily influenced Fourth Amendment jurisprudence."
Brinegar v. United States,"Brinegar v. United States, 338 U.S. 160 (1949)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Justia","Warning: Brinegar established a flexible probable cause standard for warrantless vehicle searches, but its application remains highly fact-specific and subject to evolving interpretations of reasonableness."
Carroll v. United States,"Carroll v. United States, 267 U.S. 132 (1925)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Justia, Boston College Law Review","Warning: The automobile exception has been significantly expanded beyond its original exigency rationale, now also resting on a diminished expectation of privacy in vehicles, and has been extended to include passenger belongings."
Delaware v. Prouse,"Delaware v. Prouse, 440 U.S. 648 (1979)","Fourth Amendment, Fourteenth Amendment",YES,Still Good Law,2026-05-27,"Cornell LII, Oyez","Warning: The ruling does not preclude states from developing methods for spot checks that involve less intrusion or do not involve unconstrained discretion, such as roadblock-type stops."
Terry v. Ohio,"Terry v. Ohio, 392 U.S. 1 (1968)",Fourth Amendment,YES,Modified,2026-05-27,"Cornell LII, Oyez, Justia","Warning: While the core holding of Terry v. Ohio remains good law, its application and the scope of 'reasonable suspicion' have been significantly expanded and, in some interpretations, eroded by later Supreme Court decisions, leading to complex and nuanced interpretations in practice."
Hiibel v. Sixth Judicial District Court of Nevada,"Hiibel v. Sixth Judicial Dist. Court of Nev., 542 U.S. 177 (2004)","Fourth Amendment, Fifth Amendment",YES,Still Good Law,2026-05-27,Cornell LII,Warning: The Fifth Amendment privilege applies only if there is a reasonable belief that disclosure of identity would tend to incriminate the individual.
Pennsylvania v. Mimms,"Pennsylvania v. Mimms, 434 U.S. 106 (1977)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Justia, Oyez, Cornell LII","Warning: The ruling balances officer safety against a de minimis intrusion on personal liberty, and its principle has been extended to passengers."
Maryland v. Wilson,"Maryland v. Wilson, 519 U.S. 408 (1997)",Fourth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,"Warning: The Court did not address whether an officer may forcibly detain a passenger for the entire duration of the stop, as that question was not presented by this case."
Arizona v. Johnson,"Arizona v. Johnson, 555 U.S. 323 (2009)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Justia, Oyez","Warning: Officer inquiries into matters unrelated to a traffic stop do not convert the encounter into a consensual one, and patdown authority persists if there is reasonable suspicion the individual is armed and dangerous, provided the inquiries do not measurably extend the stop's duration."
Rodriguez v. United States,"Rodriguez v. United States, 575 U.S. 348 (2015)",Fourth Amendment,YES,Still Good Law,2026-05-27,Justia.com,"Warning: The determination that detention for the dog sniff was not independently supported by individualized suspicion was not reviewed by the Eighth Circuit, leaving that question open for consideration on remand."
Illinois v. Caballes,"Illinois v. Caballes, 543 U.S. 405 (2005)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Oyez, Cornell LII, Justia",Warning: The ruling is specific to dog sniffs that do not prolong a lawful traffic stop and only reveal the presence of contraband; potential error rates of drug-detection dogs were noted but not substantiated in this case.
Katz v. United States,"Katz v. United States, 389 U.S. 347 (1967)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Oyez, Justia","Warning: The application of the 'reasonable expectation of privacy' test established in Katz has been subject to ongoing interpretation, particularly concerning information voluntarily shared with third parties (third-party doctrine) and the impact of new technologies."
Florida v. Jardines,"Florida v. Jardines, 569 U.S. 1 (2013)",Fourth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,"Warning: The Court explicitly did not decide whether the officers violated Jardines' expectation of privacy under Katz v. United States, focusing instead on the property-based trespass test."
Miranda v. Arizona,"Miranda v. Arizona, 384 U.S. 436 (1966)",Fifth Amendment,YES,Modified,2026-05-27,Cornell LII,"Warning: While Miranda rights remain entrenched, violating them does not provide a basis for a § 1983 claim, granting officers qualified immunity in such instances."
Berghuis v. Thompkins,"Berghuis v. Thompkins, 560 U.S. 370 (2010)",Fifth Amendment,YES,Still Good Law,2026-05-27,"Justia, Cornell LII",Warning: The ruling emphasizes the need for an unambiguous invocation of the right to remain silent; mere silence is insufficient.
Salinas v. Texas,"Salinas v. Texas, 570 U.S. 178 (2013)",Fifth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,Warning: The Fifth Amendment's privilege against self-incrimination is not self-executing in non-custodial interrogations and generally requires an express invocation to be protected.
Brady v. Maryland,"Brady v. Maryland, 373 U.S. 83 (1963)","Fifth Amendment, Fourteenth Amendment (Due Process Clause)",YES,Modified,2026-05-27,Cornell LII,"Warning: The defendant bears the burden to prove that withheld information was both material and favorable, demonstrating a reasonable probability that the outcome of the trial would have been different had the information been disclosed, with all non-disclosed information considered collectively."
Giglio v. United States,"Giglio v. United States, 405 U.S. 150 (1972)",Fifth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Justia","Warning: The prosecution's duty to disclose exculpatory evidence, including impeachment evidence, applies even if individual prosecutors are unaware of promises made by other members of the prosecution team."
Napue v. Illinois,"Napue v. Illinois, 360 U.S. 264 (1959)",Fourteenth Amendment,YES,Still Good Law,2026-05-27,"Oyez, Justia","Warning: The principle applies even if the false testimony goes only to the credibility of the witness, not directly to guilt."
Monell v. Department of Social Services,"Monell v. Department of Social Services of the City of New York, 436 U.S. 658 (1978)",Fourteenth Amendment,YES,Still Good Law,2026-05-27,Justia,"Warning: A local government cannot be held liable under § 1983 on a respondeat superior theory; liability only attaches when the unconstitutional action implements or executes a policy statement, ordinance, regulation, or decision officially adopted or promulgated by those whose edicts or acts may fairly be said to represent official policy, or pursuant to governmental custom."
Graham v. Connor,"Graham v. Connor, 490 U.S. 386 (1989)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Oyez, Justia","Warning: The objective reasonableness standard requires careful articulation of facts and events, not hunches or good faith, and does not preclude Fourteenth Amendment substantive due process review in all excessive force claims."
Tennessee v. Garner,"Tennessee v. Garner, 471 U.S. 1 (1985)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Oyez, Justia",Warning: Deadly force is only permissible when necessary to prevent escape and the officer has probable cause to believe the suspect poses a significant threat of death or serious physical injury to others.
Whren v. United States,"Whren v. United States, 517 U.S. 806 (1996)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Oyez, Justia","Warning: The ruling allows officers to use minor traffic violations as a pretext for stops, regardless of their subjective intent, which has been criticized for enabling racial profiling."
Arizona v. Gant,"Arizona v. Gant, 556 U.S. 332 (2009)",Fourth Amendment,YES,Still Good Law,2026-05-27,Justia,"Warning: Arizona v. Gant significantly narrowed the scope of vehicle searches incident to arrest, limiting them to situations where the arrestee is unsecured and within reaching distance of the vehicle, or where there is reasonable belief that evidence of the offense of arrest is in the vehicle."
Berkemer v. McCarty,"Berkemer v. McCarty, 468 U.S. 420 (1984)",Fifth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,"Warning: The determination of 'custody' for Miranda purposes during a traffic stop depends on how a reasonable person in the suspect's position would have understood their situation, not on the officer's unarticulated intent."
Knowles v. Iowa,"Knowles v. Iowa, 525 U.S. 113 (1998)",Fourth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,"Warning: The 'bright-line rule' for searches incident to arrest does not extend to situations where only a traffic citation is issued, as the underlying rationales of officer safety and evidence preservation are not sufficiently present."
United States v. Leon,"United States v. Leon, 468 U.S. 897 (1984)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Oyez","Warning: The case established the 'good faith' exception to the exclusionary rule, allowing evidence obtained with a facially valid warrant to be admissible even if the warrant is later found to be invalid."
Riley v. California,"Riley v. California, 573 U.S. 373 (2014)",Fourth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,"Warning: The Court's holding is that a warrant is generally required before searching a cell phone, but the exigent circumstances exception may still justify a warrantless search in particular cases."
Carpenter v. United States,"Carpenter v. United States, 585 U.S. 296 (2018)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Justia","Warning: The decision is narrow and does not address conventional surveillance tools, other business records that might reveal location information, or collection techniques involving foreign affairs or national security."
